strata_name,area_sq_km
BCR1,9551.175525
BCR2,283405.1211
BCR3,2277622.033
BCR4,1437927.247
BCR5,535188.9757
BCR6,1383804.097
BCR7,1743744.728
BCR8,1492692.605
BCR9,758142.8698
BCR10,952897.6186
BCR11,878212.9177
BCR12,616968.2072
BCR13,200413.262
BCR14,360293.7706
BCR15,52756.92049
BCR16,516875.6948
BCR17,366362.7483
BCR18,384689.4279
BCR19,397346.9674
BCR20,58594.89976
BCR21,194218.4995
BCR22,536824.9265
BCR23,229423.5727
BCR24,302124.86
BCR25,213090.3708
BCR26,113984.0636
BCR27,498587.9946
BCR28,426278.3365
BCR29,187209.412
BCR30,74014.85329
BCR31,94181.7424
BCR32,165694.434
BCR33,247294.7145
BCR34,124262.2262
BCR35,188560.5625
BCR36,68077.38205
BCR37,65824.29402
