strata_name,area_sq_km,prov_state,country_code,province_state,country
AB,662849.7799,AB,CA,Alberta,Canada
AK,1476067.177,AK,US,ALASKA,United States of America
AL,133473.4893,AL,US,ALABAMA,United States of America
AR,137938.3373,AR,US,ARKANSAS,United States of America
AZ,294937.4436,AZ,US,ARIZONA,United States of America
BC,942861.8283,BC,CA,British Columbia,Canada
CA,408628.4576,CA,US,CALIFORNIA,United States of America
CO,269543.8043,CO,US,COLORADO,United States of America
CT,12757.90083,CT,US,CONNECTICUT,United States of America
DE,5382.865392,DE,US,DELAWARE,United States of America
FL,146466.7488,FL,US,FLORIDA,United States of America
GA,152270.9097,GA,US,GEORGIA,United States of America
IA,145647.7046,IA,US,IOWA,United States of America
ID,215967.3265,ID,US,IDAHO,United States of America
IL,145456.2789,IL,US,ILLINOIS,United States of America
IN,93716.61504,IN,US,INDIANA,United States of America
KS,212981.2631,KS,US,KANSAS,United States of America
KY,104939.0581,KY,US,KENTUCKY,United States of America
LA,121069.9574,LA,US,LOUISIANA,United States of America
MA,20842.69087,MA,US,MASSACHUSETTS,United States of America
MB,650259.2442,MB,CA,Manitoba,Canada
MD,25613.88482,MD,US,MARYLAND,United States of America
ME,84067.51021,ME,US,MAINE,United States of America
MI,149771.5081,MI,US,MICHIGAN,United States of America
MN,218484.9024,MN,US,MINNESOTA,United States of America
MO,181138.379,MO,US,MISSOURI,United States of America
MS,123334.3276,MS,US,MISSISSIPPI,United States of America
MT,380995.4329,MT,US,MONTANA,United States of America
NB,72990.97354,NB,CA,New Brunswick,Canada
NC,127806.4579,NC,US,NORTH CAROLINA,United States of America
ND,183102.2867,ND,US,NORTH DAKOTA,United States of America
NE,200489.624,NE,US,NEBRASKA,United States of America
NH,23935.81018,NH,US,NEW HAMPSHIRE,United States of America
NJ,19982.25059,NJ,US,NEW JERSEY,United States of America
NL,404549.0226,NL,CA,Newfoundland and Labrador,Canada
NM,315574.1369,NM,US,NEW MEXICO,United States of America
NS,56312.75061,NS,CA,Nova Scotia,Canada
NT,1176436.955,NT,CA,Northwest Territories,Canada
NU,1567639.507,NU,CA,Nunavut,Canada
NV,286113.6834,NV,US,NEVADA,United States of America
NY,126063.5641,NY,US,NEW YORK,United States of America
OH,106421.6317,OH,US,OHIO,United States of America
OK,181127.1206,OK,US,OKLAHOMA,United States of America
ON,988752.2529,ON,CA,Ontario,Canada
OR,251279.5941,OR,US,OREGON,United States of America
PA,117165.7282,PA,US,PENNSYLVANIA,United States of America
PE,5189.163649,PE,CA,Prince Edward Island,Canada
QC,1509077.425,QC,CA,Quebec,Canada
RI,2833.614362,RI,US,RHODE ISLAND,United States of America
SC,79874.90925,SC,US,SOUTH CAROLINA,United States of America
SD,199443.6653,SD,US,SOUTH DAKOTA,United States of America
SK,652506.4873,SK,CA,Saskatchewan,Canada
TN,108827.2752,TN,US,TENNESSEE,United States of America
TX,685492.56,TX,US,TEXAS,United States of America
UT,219857.7194,UT,US,UTAH,United States of America
VA,103753.0871,VA,US,VIRGINIA,United States of America
VT,25041.4817,VT,US,VERMONT,United States of America
WA,175002.5005,WA,US,WASHINGTON,United States of America
WI,145841.3484,WI,US,WISCONSIN,United States of America
WV,62692.4925,WV,US,WEST VIRGINIA,United States of America
WY,253626.5948,WY,US,WYOMING,United States of America
YT,484875.0323,YT,CA,Yukon,Canada
