countrynum,RegionCode,State-Prov-TerrName
124,4,Alberta
124,11,British Columbia
124,43,Northwest Territories
124,45,Manitoba
124,56,New Brunswick
124,57,Newfoundland and Labrador
124,62,Nunavut
124,65,Nova Scotia
124,68,Ontario
124,75,Prince Edward Island
124,76,Quebec
124,79,Saskatchewan
124,93,Yukon
484,1,Aguascalientes
484,2,Baja California
484,3,Baja California Sur
484,4,Campeche
484,5,Chiapas
484,6,Chihuahua
484,7,Coahuila
484,8,Colima
484,9,Distrito Federal
484,10,Durango
484,11,Guanajuato
484,12,Guerrero
484,13,Hidalgo
484,14,Jalisco
484,15,México
484,16,Michoacán
484,17,Morelos
484,18,Nayarit
484,19,Nuevo León
484,20,Oaxaca
484,21,Puebla
484,22,Querétaro
484,23,Quintana Roo
484,24,San Luis Potosí
484,25,Sinaloa
484,26,Sonora
484,27,Tabasco
484,28,Tamaulipas
484,29,Tlaxcala
484,30,Veracruz
484,31,Yucatán
484,32,Zacatecas
484,48,Mexico Country
840,2,ALABAMA
840,3,ALASKA
840,6,ARIZONA
840,7,ARKANSAS
840,14,CALIFORNIA
840,17,COLORADO
840,18,CONNECTICUT
840,21,DELAWARE
840,25,FLORIDA
840,27,GEORGIA
840,33,IDAHO
840,34,ILLINOIS
840,35,INDIANA
840,36,IOWA
840,38,KANSAS
840,39,KENTUCKY
840,42,LOUISIANA
840,44,MAINE
840,46,MARYLAND
840,47,MASSACHUSETTS
840,49,MICHIGAN
840,50,MINNESOTA
840,51,MISSISSIPPI
840,52,MISSOURI
840,53,MONTANA
840,54,NEBRASKA
840,55,NEVADA
840,58,NEW HAMPSHIRE
840,59,NEW JERSEY
840,60,NEW MEXICO
840,61,NEW YORK
840,63,NORTH CAROLINA
840,64,NORTH DAKOTA
840,66,OHIO
840,67,OKLAHOMA
840,69,OREGON
840,72,PENNSYLVANIA
840,74,PUERTO RICO
840,77,RHODE ISLAND
840,80,SOUTH CAROLINA
840,81,SOUTH DAKOTA
840,82,TENNESSEE
840,83,TEXAS
840,85,UTAH
840,87,VERMONT
840,88,VIRGINIA
840,89,WASHINGTON
840,90,WEST VIRGINIA
840,91,WISCONSIN
840,92,WYOMING
