State,countrynum,statenum,St_Abrev,Country
ALABAMA,840,2,AL,US
ALASKA,840,3,AK,US
Alberta,124,4,AB,CA
ARIZONA,840,6,AZ,US
ARKANSAS,840,7,AR,US
British Columbia,124,11,BC,CA
CALIFORNIA,840,14,CA,US
COLORADO,840,17,CO,US
CONNECTICUT,840,18,CT,US
DELAWARE,840,21,DE,US
FLORIDA,840,25,FL,US
GEORGIA,840,27,GA,US
IDAHO,840,33,ID,US
ILLINOIS,840,34,IL,US
INDIANA,840,35,IN,US
IOWA,840,36,IA,US
KANSAS,840,38,KS,US
KENTUCKY,840,39,KY,US
LOUISIANA,840,42,LA,US
MAINE,840,44,ME,US
Manitoba,124,45,MB,CA
MARYLAND,840,46,MD,US
MASSACHUSETTS,840,47,MA,US
MICHIGAN,840,49,MI,US
MINNESOTA,840,50,MN,US
MISSISSIPPI,840,51,MS,US
MISSOURI,840,52,MO,US
MONTANA,840,53,MT,US
NEBRASKA,840,54,NE,US
NEVADA,840,55,NV,US
New Brunswick,124,56,NB,CA
NEW HAMPSHIRE,840,58,NH,US
NEW JERSEY,840,59,NJ,US
NEW MEXICO,840,60,NM,US
NEW YORK,840,61,NY,US
Newfoundland and Labrador,124,57,NL,CA
NORTH CAROLINA,840,63,NC,US
NORTH DAKOTA,840,64,ND,US
Northwest Territories,124,43,NT,CA
Nova Scotia,124,65,NS,CA
Nunavut,124,62,NU,CA
OHIO,840,66,OH,US
OKLAHOMA,840,67,OK,US
Ontario,124,68,ON,CA
OREGON,840,69,OR,US
PENNSYLVANIA,840,72,PA,US
Prince Edward Island,124,75,PE,CA
PUERTO RICO,840,74,PR,US
Quebec,124,76,QC,CA
RHODE ISLAND,840,77,RI,US
Saskatchewan,124,79,SK,CA
SOUTH CAROLINA,840,80,SC,US
SOUTH DAKOTA,840,81,SD,US
TENNESSEE,840,82,TN,US
TEXAS,840,83,TX,US
UTAH,840,85,UT,US
VERMONT,840,87,VT,US
VIRGINIA,840,88,VA,US
WASHINGTON,840,89,WA,US
WEST VIRGINIA,840,90,WV,US
WISCONSIN,840,91,WI,US
WYOMING,840,92,WY,US
Yukon,124,93,YT,CA
