State,code,country
ALASKA,AK,US
ALABAMA,AL,US
ARKANSAS,AR,US
ARIZONA,AZ,US
CALIFORNIA,CA,US
COLORADO,CO,US
CONNECTICUT,CT,US
CANAL ZONE,CZ,US
DISTRICT OF COLUMBIA,DC,US
DELAWARE,DE,US
FLORIDA,FL,US
GEORGIA,GA,US
HAWAII,HI,US
IOWA,IA,US
IDAHO,ID,US
ILLINOIS,IL,US
INDIANA,IN,US
KANSAS,KS,US
KENTUCKY,KY,US
LOUISIANA,LA,US
MASSACHUSETTS,MA,US
MARYLAND,MD,US
MAINE,ME,US
MICHIGAN,MI,US
MINNESOTA,MN,US
MISSOURI,MO,US
MISSISSIPPI,MS,US
MONTANA,MT,US
NEBRASKA,NE,US
NORTH CAROLINA,NC,US
NORTH DAKOTA,ND,US
NEW HAMPSHIRE,NH,US
NEW JERSEY,NJ,US
NEW MEXICO,NM,US
NEW YORK,NY,US
NEVADA,NV,US
OHIO,OH,US
OKLAHOMA,OK,US
OREGON,OR,US
PENNSYLVANIA,PA,US
PUERTO RICO,PR,US
RHODE ISLAND,RI,US
SOUTH CAROLINA,SC,US
SOUTH DAKOTA,SD,US
TENNESSEE,TN,US
TEXAS,TX,US
UTAH,UT,US
VIRGINIA,VA,US
VIRGIN ISLANDS,VI,US
VERMONT,VT,US
WASHINGTON,WA,US
WISCONSIN,WI,US
WEST VIRGINIA,WV,US
WYOMING,WY,US
Alberta,AB,CA
British Columbia,BC,CA
Manitoba,MB,CA
New Brunswick,NB,CA
Newfoundland and Labrador,NL,CA
Northwest Territories,NT,CA
Nova Scotia,NSPE,CA
Nunavut,NU,CA
Ontario,ON,CA
Quebec,QC,CA
Saskatchewan,SK,CA
Yukon,YT,CA
