St_12,country,prov
ALASKA,US,AK
ALABAMA,US,AL
ARKANSAS,US,AR
ARIZONA,US,AZ
CALIFORNIA,US,CA
COLORADO,US,CO
CONNECTICUT,US,CT
DELAWARE,US,DE
FLORIDA,US,FL
GEORGIA,US,GA
IOWA,US,IA
IDAHO,US,ID
ILLINOIS,US,IL
INDIANA,US,IN
KANSAS,US,KS
KENTUCKY,US,KY
LOUISIANA,US,LA
MASSACHUSETTS,US,MA
MARYLAND,US,MD
MAINE,US,ME
MICHIGAN,US,MI
MINNESOTA,US,MN
MISSOURI,US,MO
MISSISSIPPI,US,MS
MONTANA,US,MT
NEBRASKA,US,NE
NORTH CAROLINA,US,NC
NORTH DAKOTA,US,ND
NEW HAMPSHIRE,US,NH
NEW JERSEY,US,NJ
NEW MEXICO,US,NM
NEW YORK,US,NY
NEVADA,US,NV
OHIO,US,OH
OKLAHOMA,US,OK
OREGON,US,OR
PENNSYLVANIA,US,PA
PUERTO RICO,US,PR
RHODE ISLAND,US,RI
SOUTH CAROLINA,US,SC
SOUTH DAKOTA,US,SD
TENNESSEE,US,TN
TEXAS,US,TX
UTAH,US,UT
VIRGINIA,US,VA
VERMONT,US,VT
WASHINGTON,US,WA
WISCONSIN,US,WI
WEST VIRGINIA,US,WV
WYOMING,US,WY
Alberta,CA,AB
British Columbia,CA,BC
Manitoba,CA,MB
New Brunswick,CA,NB
Newfoundland and Labrador,CA,NL
Northwest Territories,CA,NT
Nova Scotia,CA,NS
Nunavut,CA,NU
Ontario,CA,ON
Quebec,CA,QC
Saskatchewan,CA,SK
Yukon,CA,YT
